teamName,agents,website,facebook,instagram,linkedin,phone,company,network,location,avgHomePrice,latestVolume,latestTransactions,url
"M&M Realty Group","4","","","","","(972) 861-2144","Keller Williams Realty","Keller Williams","Southlake, TX","$480,691","$30.28M","63","https://www.realtrends.com/team-profile/mmrealtygroup-texas-kellerwilliamsrealty/"
"Nugent + Scott Group","2","https://www.briggsfreeman.com/","","","","(214) 533-6332","Briggs Freeman Sotheby's International Realty","Sotheby's International Realty","Dallas, TX","$2,750,273","$30.25M","11","https://www.realtrends.com/team-profile/nugent-scottgroup-texas-briggsfreemansotheby-sinternationalrealty/"
"Laborde Properties","4","https://www.thereallpg.com/","","https://www.instagram.com/labordeproperties","","(713) 396-9763","Compass","Compass","Houston, TX","$943,890","$30.20M","32","https://www.realtrends.com/team-profile/labordeproperties-texas-compass/"
"Mooney Real Estate Group","3","","","","","","Compass","Compass","Dallas, TX","$1,675,836","$30.17M","18","https://www.realtrends.com/team-profile/mooneyrealestategroup-texas-compass/"
"Young Realty Group","5","https://www.youngrealtyhouston.com/","https://www.facebook.com/YoungRealtyGroup","https://www.instagram.com/davidmyoungrealtor/","https://www.linkedin.com/in/davidmyoung123/","(713) 320-6453","Compass","Compass","Houston, TX","$886,631","$30.15M","34","https://www.realtrends.com/team-profile/youngrealtygroup-texas-compass/"
"Tamborrel Bulox Team","3","https://www.tamborrelbulox.com/","https://www.facebook.com/tamborrelbuloxteam","https://www.instagram.com/tamborrelbuloxteam","","(281) 796-0239","Keller Williams Realty - The Woodlands","Keller Williams","The Woodlands, TX","$669,178","$30.11M","45","https://www.realtrends.com/team-profile/tamborrelbuloxteam-texas-kellerwilliamsrealty-thewoodlands/"
"Brinkman Team","3","https://www.ashleybrinkman.com/","https://www.facebook.com/IHeartTheATX/?locale=nb_NO","https://www.instagram.com/ihearttheatx/p/DF71To3OvwN/?img_index=1","https://www.linkedin.com/in/ashleybrinkman","(512) 665-8787","Compass","Compass","Austin, TX","$566,636","$30.03M","53","https://www.realtrends.com/team-profile/brinkmanteam-texas-compass/"
"Tiffany Smith Team","2","https://www.tiffanysmithteam.com/","https://www.facebook.com/TiffanySmithRealtor","https://www.instagram.com/realtortiffanysmith/","https://www.linkedin.com/in/tiffany-smith-6a736046/","(214) 425-3233","Compass","Compass","Frisco, TX","$933,268","$29.86M","32","https://www.realtrends.com/team-profile/tiffanysmithteam-texas-compass/"
"Texas Luxury Realtor Group","3","https://www.redfin.com/","","","","","Redfin","Redfin","Frisco, TX","$563,194","$29.85M","53","https://www.realtrends.com/team-profile/texasluxuryrealtorgroup-texas-redfin/"
"Good Deeds Group","5","","","","","","Compass","Compass","Austin, TX","$621,702","$29.84M","48","https://www.realtrends.com/team-profile/gooddeedsgroup-texas-compass/"
"Arcana Shafer Real Estate Group","5","https://www.johnarcanarealtor.com/","","","","(409) 656-8267","RE/MAX ONE","RE/MAX","Beaumont, TX","$237,144","$29.64M","125","https://www.realtrends.com/team-profile/arcanashaferrealestategroup-texas-re-maxone/"
"Tessa Mosteller Real Estate Group","2","https://www.briggsfreeman.com/","","","","(214) 505-1248","Briggs Freeman Sotheby's International Realty","Sotheby's International Realty","Dallas, TX","$2,193,313","$29.61M","13.5","https://www.realtrends.com/team-profile/tessamostellerrealestategroup-texas-briggsfreemansotheby-sinternationalrealty/"
"J. Klefeker Group","4","https://www.jklefekergroup.com/","","https://www.instagram.com/jansenklefeker","","(817) 266-8451","Compass","Compass","Dallas, TX","$475,001","$29.45M","62","https://www.realtrends.com/team-profile/j-klefekergroup-texas-compass/"
"Jennifer Colley Team","5","","","","","(806) 771-7710","Keller Williams Realty","Keller Williams","Lubbock, TX","$431,404","$29.34M","68","https://www.realtrends.com/team-profile/jennifercolleyteam-texas-kellerwilliamsrealty/"
"Black Label Realty Group","2","","","","","(210) 237-7268","Keller Williams Realty Heritage","Keller Williams","San Antonio, TX","$376,012","$29.33M","78","https://www.realtrends.com/team-profile/blacklabelrealtygroup-texas-kellerwilliamsrealtyheritage/"
"Croft Real Estate Group","2","https://croftrealestategroup.com/","https://www.facebook.com/justincroftrealtor","https://www.instagram.com/croftrealestategroup/","https://www.linkedin.com/in/justincroftrealtor/","(214) 213-7200","Berkshire Hathaway HomeServices PenFed Realty Texas","Berkshire Hathaway HomeServices","Dallas, TX","$1,164,465","$29.11M","25","https://www.realtrends.com/team-profile/croftrealestategroup-texas-berkshirehathawayhomeservicespenfedrealtytexas/"
"Corrier Group","2","","","","","(979) 571-2839","Keller Williams Realty Brazos Valley","Keller Williams","College Station, TX","$619,276","$29.11M","47","https://www.realtrends.com/team-profile/corriergroup-texas-kellerwilliamsrealtybrazosvalley/"
"The Gioia Goyer Group","3","https://www.briggsfreeman.com/","","","","(214) 616-1791","Briggs Freeman Sotheby's International Realty","Sotheby's International Realty","Dallas, TX","$1,938,423","$29.08M","15","https://www.realtrends.com/team-profile/thegioiagoyergroup-texas-briggsfreemansotheby-sinternationalrealty/"
"Lucy Knox Floravista Realty","5","","","","","(817) 890-7355","Keller Williams Lonestar DFW","Keller Williams","Arlington, TX","$308,947","$29.04M","94","https://www.realtrends.com/team-profile/lucyknoxfloravistarealty-texas-kellerwilliamslonestardfw/"
"MPM Lux Realty","2","","","","","(281) 797-9308","Keller Williams Realty - The Woodlands","Keller Williams","The Woodlands, TX","$487,802","$29.02M","59.5","https://www.realtrends.com/team-profile/mpmluxrealty-texas-kellerwilliamsrealty-thewoodlands/"
"The Everett Team","5","","","","","","Compass","Compass","Austin, TX","$1,114,265","$28.97M","26","https://www.realtrends.com/team-profile/theeverettteam-texas-compass/"
"Amanda Hunt Team","2","","","","","(903) 714-8413","RE/MAX Tyler","RE/MAX","Tyler, TX","$445,398","$28.95M","65","https://www.realtrends.com/team-profile/amandahuntteam-texas-re-maxtyler/"
"The Skillman Group","2","https://www.redfin.com/","","","","","Redfin","Redfin","San Antonio, TX","$356,829","$28.90M","81","https://www.realtrends.com/team-profile/theskillmangroup-texas-redfin/"
"The Holley Madden Group","3","","","","","","Compass","Compass","Houston, TX","$825,127","$28.88M","35","https://www.realtrends.com/team-profile/theholleymaddengroup-texas-compass/"
"The Anderson Cohen Group","3","","","","","","Douglas Elliman","Independent/Other","Houston, TX","$931,518","$28.88M","31","https://www.realtrends.com/team-profile/theandersoncohengroup-texas-douglaselliman/"
"Sergio & Sheila Real Estate Group","2","https://www.sergioandsheila.com/","https://www.facebook.com/sergioandsheila","https://www.instagram.com/sergioandsheila/","","(214) 909-1030","Allie Beth Allman & Associates","LeadingRE, HomeServices of America","Garland, TX","$961,683","$28.85M","30","https://www.realtrends.com/team-profile/sergiosheilarealestategroup-texas-alliebethallmanassociates/"
"Wilson Real Estate Team","5","","","","","(972) 747-5100","Keller Williams Realty Allen","Keller Williams","Allen, TX","$524,432","$28.84M","55","https://www.realtrends.com/team-profile/wilsonrealestateteam-texas-kellerwilliamsrealtyallen/"
"The B&P Team","5","","","","","(786) 548-8342","Keller Williams Houston Southwest","Keller Williams","Sugar Land, TX","$531,055","$73.82M","139","https://www.realtrends.com/team-profile/thebpteam-texas-kellerwilliamshoustonsouthwest/"
"TT Ranch Group","5","https://www.briggsfreeman.com/","","","","(214) 718-2800","Briggs Freeman Sotheby's International Realty","Sotheby's International Realty","Dallas, TX","$2,415,812","$72.47M","30","https://www.realtrends.com/team-profile/ttranchgroup-texas-briggsfreemansotheby-sinternationalrealty/"
"JKB Realty Group","4","","","","","(512) 796-0389","Keller Williams Realty","Keller Williams","Austin, TX","$775,703","$71.36M","92","https://www.realtrends.com/team-profile/jkbrealtygroup-texas-kellerwilliamsrealty/"
"Danuser Rado Group","4","https://www.danuserradogroup.com/","","https://www.instagram.com/danuserradogroup","","(214) 724-3105","Compass","Compass","Dallas, TX","$2,436,630","$68.23M","28","https://www.realtrends.com/team-profile/danuserradogroup-texas-compass/"
"Alexis Weigand Group","5","","","","","(210) 987-8801","Keller Williams Realty","Keller Williams","San Antonio, TX","$556,110","$67.85M","122","https://www.realtrends.com/team-profile/alexisweigandgroup-texas-kellerwilliamsrealty/"
"Caroline Schlemmer","4","https://www.carolineschlemmer.com/","","","","(713) 446-2716","Compass","Compass","Houston, TX","$1,114,541","$66.87M","60","https://www.realtrends.com/team-profile/carolineschlemmer-texas-compass/"
"Chilton Bacak Group","5","https://www.chiltonbacakgroup.com/","","https://www.instagram.com/chiltonbacakgroup","","(979) 575-2759","Coldwell Banker Apex, Realtors","Coldwell Banker","College Station, TX","$494,238","$66.23M","134","https://www.realtrends.com/team-profile/chiltonbacakgroup-texas-coldwellbankerapexrealtors/"
"Bonck Group","3","","","","","","eXp Realty","eXp Realty","Houston, TX","$841,230","$65.62M","78","https://www.realtrends.com/team-profile/bonckgroup-texas-exprealty/"
"Pantuso Properties","4","","","","","(817) 329-8850","Keller Williams Realty","Keller Williams","Southlake, TX","$2,262,469","$65.61M","29","https://www.realtrends.com/team-profile/pantusoproperties-texas-kellerwilliamsrealty/"
"The Nina and Neel Team","5","https://www.ninaandneel.com/","https://www.facebook.com/ninaandneel/","https://www.instagram.com/NinaAndNeel/","","281--773-5372","eXp Realty","eXp Realty","Missouri City, TX","$427,617","$64.57M","151","https://www.realtrends.com/team-profile/theninaandneelteam-texas-exprealty/"
"TREND Group","4","","","","","","Compass","Compass","Dallas, TX","$833,855","$64.21M","77","https://www.realtrends.com/team-profile/trendgroup-texas-compass/"
"Portfolio Properties Group","2","","","","","(214) 632-5813","Allie Beth Allman & Associates","LeadingRE, HomeServices of America","Dallas, TX","$2,913,636","$64.10M","22","https://www.realtrends.com/team-profile/portfoliopropertiesgroup-texas-alliebethallmanassociates/"
"Giles Group","2","https://gilesgroupaustin.com/","https://www.facebook.com/gilesgrp/","https://www.instagram.com/the_giles_group","https://www.linkedin.com/company/giles-group-austin/","","Compass","Compass","Austin, TX","$1,762,455","$63.45M","36","https://www.realtrends.com/team-profile/gilesgroup-texas-compass/"
"See Tim Sell Property Group","4","","","","","(281) 220-2113","Keller Williams Premier Realty","Keller Williams","Katy, TX","$510,073","$62.74M","123","https://www.realtrends.com/team-profile/seetimsellpropertygroup-texas-kellerwilliamspremierrealty/"
"John C. Weber Real Estate Group","4","https://www.jcwrealestategroup.com/","https://www.facebook.com/jcwrealestategroup","https://www.instagram.com/jcwrealestate","","(214) 679-2427","Compass","Compass","Dallas, TX","$693,922","$61.76M","89","https://www.realtrends.com/team-profile/johnc-weberrealestategroup-texas-compass/"
"Rod Holland Real Estate Group","3","","","","","(972) 772-7070","Keller Williams Realty Rockwall","Keller Williams","Rockwall, TX","$723,943","$61.75M","85.3","https://www.realtrends.com/team-profile/rodhollandrealestategroup-texas-kellerwilliamsrealtyrockwall/"
"The Angela Green Team","3","","","","","(214) 893-4171","Keller Williams Realty Central 75","Keller Williams","Richardson, TX","$717,477","$61.70M","86","https://www.realtrends.com/team-profile/theangelagreenteam-texas-kellerwilliamsrealtycentral75/"
"The JP Findley Group","5","https://www.jpfindleygroup.com/","","https://www.instagram.com/jpfindleygroup","","(214) 418-0455","Compass","Compass","Frisco, TX","$723,529","$61.50M","85","https://www.realtrends.com/team-profile/thejpfindleygroup-texas-compass/"
"Donna Bradshaw Team","4","","","","","(214) 734-8125","RE/MAX DFW Associates IV","RE/MAX","Flower Mound, TX","$924,195","$60.07M","65","https://www.realtrends.com/team-profile/donnabradshawteam-texas-re-maxdfwassociatesiv/"
"Sarah Conway Properties Team","3","","","","","","Better Homes and Gardens Real Estate Gary Greene","Better Homes and Gardens","Houston, TX","$773,016","$59.52M","77","https://www.realtrends.com/team-profile/sarahconwaypropertiesteam-texas-betterhomesandgardensrealestategarygreene/"
"Cindy Schmidt Team","4","https://www.cindyschmidt.net/","","","","(817) 804-2735","RE/MAX Associates of Mansfield","RE/MAX","Mansfield, TX","$436,370","$28.80M","66","https://www.realtrends.com/team-profile/cindyschmidtteam-texas-re-maxassociatesofmansfield/"
"The Scurlock Group","3","","","","","(281) 946-9987","KW Clear Lake","Keller Williams","Houston, TX","$253,508","$28.65M","113","https://www.realtrends.com/team-profile/thescurlockgroup-texas-kwclearlake/"
"The Recio Group","2","https://www.redfin.com/","","","","","Redfin","Redfin","Austin, TX","$634,427","$28.55M","45","https://www.realtrends.com/team-profile/thereciogroup-texas-redfin/"
"Babin Realty LLC","2","","","","","(512) 255-5050","Keller Williams Realty","Keller Williams","Round Rock, TX","$679,629","$28.54M","42","https://www.realtrends.com/team-profile/babinrealtyllc-texas-kellerwilliamsrealty/"
"Lisa Henry Group","2","https://www.lisahenrygroup.com/","","https://www.instagram.com/lisahenrygroup","","(972) 839-7227","Coldwell Banker Apex, Realtors","Coldwell Banker","Wylie, TX","$455,192","$28.54M","62.7","https://www.realtrends.com/team-profile/lisahenrygroup-texas-coldwellbankerapexrealtors/"
"The Major Team","5","","","","","(903) 307-2884","Keller Williams Realty, Tyler","Keller Williams","Tyler, TX","$290,215","$28.44M","98","https://www.realtrends.com/team-profile/themajorteam-texas-kellerwilliamsrealtytyler/"
"Venture Realty Group","4","","","","","","Compass","Compass","Dallas, TX","$916,050","$28.40M","31","https://www.realtrends.com/team-profile/venturerealtygroup-texas-compass/"
"Deveau Realty Team","2","https://www.deveaurealtyteam.com/","https://www.facebook.com/DeveauRealtyTeam/","https://www.instagram.com/deveaurealtyteam","","(713) 854-1097","Compass","Compass","Houston, TX","$834,938","$28.39M","34","https://www.realtrends.com/team-profile/deveaurealtyteam-texas-compass/"
"Aspire Realty Group","5","https://www.aspiregrouprealty.com/","","","","(214) 548-9186","Compass","Compass","Frisco, TX","$565,910","$28.30M","50","https://www.realtrends.com/team-profile/aspirerealtygroup-texas-compass/"
"Behrens Real Estate Group","5","https://www.behrensrealestategroup.com/","https://www.facebook.com/JillBehrensRealEstate","https://www.instagram.com/behrens.real.estate.group","https://www.linkedin.com/in/jill-behrens-9574a2105/","(281) 797-5293","Compass","Compass","The Woodlands, TX","$721,490","$28.14M","39","https://www.realtrends.com/team-profile/behrensrealestategroup-texas-compass/"
"The Urban Group","4","https://www.williamstrew.com/bio/theurbangroup","","","","(817) 994-9659","Ebby Halliday Companies - Williams Trew","LeadingRE, HomeServices of America","Fort Worth, TX","$561,716","$28.09M","50","https://www.realtrends.com/team-profile/theurbangroup-texas-ebbyhalliday-companies-williamstrew/"
"GroupWatson","5","","","","","(972) 370-1775","Keller Williams Realty Preston Road","Keller Williams","Dallas, TX","$540,028","$28.08M","52","https://www.realtrends.com/team-profile/groupwatson-texas-kellerwilliamsrealtyprestonroad/"
"Stacy Doby Team","3","","","","","(325) 669-3558","KW Synergy","Keller Williams","Abilene, TX","$384,637","$28.08M","73","https://www.realtrends.com/team-profile/stacydobyteam-texas-kwsynergy/"
"Lamplighter Group","3","","","","","","Compass","Compass","Dallas, TX","$550,190","$28.06M","51","https://www.realtrends.com/team-profile/lamplightergroup-texas-compass/"
"Nick Termini Group","5","","","","","972270210-0","CENTURY 21 Judge Fite Company","CENTURY 21","Rockwall, TX","$483,691","$28.05M","58","https://www.realtrends.com/team-profile/nickterminigroup-texas-century21judgefitecompany/"
"The Kirk McDonald Group","5","","","","","","Compass","Compass","Fort Worth, TX","$583,150","$27.99M","48","https://www.realtrends.com/team-profile/thekirkmcdonaldgroup-texas-compass/"
"The Living in Dallas Texas Team","3","https://www.livingindallastx.com/","","https://www.instagram.com/travisplumb/","https://www.linkedin.com/in/travisplumb-realtor/","(574) 387-8372","eXp Realty","eXp Realty","Frisco, TX","$388,478","$27.97M","72","https://www.realtrends.com/team-profile/thelivingindallastexasteam-texas-exprealty/"
"The Lauren Ashley Team","5","https://www.thelaurenashleyteam.com/","https://www.facebook.com/TheLaurenAshleyTeam","https://www.instagram.com/thelaurenashleyteam_htx/","https://www.linkedin.com/in/lauren-ashley-a4aba632/","(713) 494-9098","Better Homes and Gardens Real Estate Gary Greene","Better Homes and Gardens","Houston, TX","$443,946","$27.97M","63","https://www.realtrends.com/team-profile/thelaurenashleyteam-texas-betterhomesandgardensrealestategarygreene/"
"Vine House Real Estate Group","3","","","","","","Compass","Compass","Dallas, TX","$547,735","$27.93M","51","https://www.realtrends.com/team-profile/vinehouserealestategroup-texas-rogershealyandassociates/"
"Aaron Stokes Real Estate Group","2","","","","","(214) 533-4188","Keller Williams Realty Rockwall","Keller Williams","Rockwall, TX","$525,864","$27.87M","53","https://www.realtrends.com/team-profile/aaronstokesrealestategroup-texas-kellerwilliamsrealtyrockwall/"
"Defined Realty Group","2","","","","","","Compass","Compass","Dallas, TX","$695,567","$27.82M","40","https://www.realtrends.com/team-profile/definedrealtygroup-texas-compass/"
"Team Derek & DJ","2","","","","","(940) 447-7160","Keller Williams Realty El Paso","Keller Williams","El Paso, TX","$289,749","$27.82M","96","https://www.realtrends.com/team-profile/teamderekdj-texas-kellerwilliamsrealtyelpaso/"
"Meredith Roel Realty Group","4","","","","","(903) 238-5224","Keller Williams Realty, Tyler","Keller Williams","Tyler, TX","$326,644","$27.76M","85","https://www.realtrends.com/team-profile/meredithroelrealtygroup-texas-kellerwilliamsrealtytyler/"
"Model Realty Group","3","","","","","","Compass","Compass","Fort Worth, TX","$1,156,710","$27.76M","24","https://www.realtrends.com/team-profile/modelrealtygroup-texas-compass/"
"Patti Nelson Luxury","2","","","","","(210) 978-0110","Keller Williams Realty","Keller Williams","San Antonio, TX","$1,258,509","$27.69M","22","https://www.realtrends.com/team-profile/pattinelsonluxury-texas-kellerwilliamsrealty/"
"KIM MILLER GROUP","2","","","","","(817) 329-8850","Keller Williams Realty","Keller Williams","Southlake, TX","$1,455,296","$27.65M","19","https://www.realtrends.com/team-profile/kimmillergroup-texas-kellerwilliamsrealty/"
"America's Realty Group","4","","","https://www.instagram.com/americasrealtygroup?igsh=bHBlMWk1czk0aHVw&utm_source=qr","","(817) 716-9412","Compass","Compass","Frisco, TX","$689,024","$27.56M","40","https://www.realtrends.com/team-profile/america-srealtygroup-texas-compass/"
"The Steve Rico Group","2","https://www.soldbyrico.com/","","","","(210) 789-0518","RE/MAX Alamo Realty","RE/MAX","San Antonio, TX","$635,716","$27.34M","43","https://www.realtrends.com/team-profile/thestevericogroup-texas-re-maxalamorealty/"
"Sturgeon Gregg Group","2","","","","","","Compass","Compass","Dallas, TX","$1,012,107","$27.33M","27","https://www.realtrends.com/team-profile/sturgeongregggroup-texas-compass/"
"Awad Realty Group","2","","","https://www.instagram.com/awadrealty","","(708) 691-9875","Compass","Compass","Dallas, TX","$634,016","$27.26M","43","https://www.realtrends.com/team-profile/awadrealtygroup-texas-compass/"
"Rosie Smelcer Group","3","","","","","","Compass","Compass","Dallas, TX","$2,475,776","$27.23M","11","https://www.realtrends.com/team-profile/rosiesmelcergroup-texas-compass/"
"Acker Properties Group","4","","","","","(210) 394-1278","Keller Williams Realty Central 75","Keller Williams","Richardson, TX","$591,435","$27.21M","46","https://www.realtrends.com/team-profile/ackerpropertiesgroup-texas-kellerwilliamsrealtycentral75/"
"Ravetta Home Team","2","https://aravetta.cbapex.com/","https://www.realtrends.com/team-profile/ravettahometeam-texas-coldwellbankerapexrealtors/www.facebook.com/RavettaHomeTeam","https://www.instagram.com/RavettaHomeTeam","","(214) 499-6432","Coldwell Banker Apex, Realtors","Coldwell Banker","Rockwall, TX","$475,579","$27.11M","57","https://www.realtrends.com/team-profile/ravettahometeam-texas-coldwellbankerapexrealtors/"
"Texas Property Sisters Group","3","","","","","","Coldwell Banker Apex, Realtors","Coldwell Banker","McKinney, TX","$731,969","$27.08M","37","https://www.realtrends.com/team-profile/texaspropertysistersgroup-texas-coldwellbankerapexrealtors/"
"Crutcher and Hartley Team","4","https://www.dougandpj.com/","","","","(903) 565-6999","RE/MAX Tyler - Properties","RE/MAX","Tyler, TX","$473,546","$26.99M","57","https://www.realtrends.com/team-profile/crutcherandhartleyteam-texas-re-maxtyler-properties/"
"Dewald Lipari Real Estate Group","2","","","","","","Compass","Compass","Fort Worth, TX","$490,709","$26.99M","55","https://www.realtrends.com/team-profile/dewaldliparirealestategroup-texas-compass/"
"Park Properties Group","2","https://www.phyllisbrowning.com/realestate/agent/park-properties-group/","","","","(210) 313-2904","Phyllis Browning Company","LeadingRE","San Antonio, TX","$898,389","$26.95M","30","https://www.realtrends.com/team-profile/parkpropertiesgroup-texas-phyllisbrowningcompany/"
"Veritas Group","5","","","","","","Compass","Compass","Austin, TX","$690,163","$26.92M","39","https://www.realtrends.com/team-profile/veritasgroup-texas-compass/"
"The Zepeda Team","5","https://www.zepedateam.com/","https://www.realtrends.com/team-profile/thezepedateam-texas-kellerwilliamsrealtyheritage/www.facebook.com/TheZepedaTeam","https://www.instagram.com/thezepedateamsa","","(210) 387-2584","Keller Williams Realty Heritage","Keller Williams","San Antonio, TX","$331,990","$26.89M","81","https://www.realtrends.com/team-profile/thezepedateam-texas-kellerwilliamsrealtyheritage/"
"Holt Residential Group","3","","","","","","Compass","Compass","Austin, TX","$1,220,064","$26.84M","22","https://www.realtrends.com/team-profile/holtresidentialgroup-texas-compass/"
"Lipscomb Luxury Group","3","","","","","","Compass","Compass","Austin, TX","$2,058,269","$26.76M","13","https://www.realtrends.com/team-profile/lipscombluxurygroup-texas-compass/"
"Matt Freeman Team","2","","","","","281392927-2","CENTURY 21 Western Realty","CENTURY 21","Katy, TX","$606,679","$26.69M","44","https://www.realtrends.com/team-profile/mattfreemanteam-texas-century21westernrealty/"
"Ascension Realty Group","5","https://ascensionaustin.com/","https://www.facebook.com/ascensionaustin","https://www.instagram.com/ascensionrealtygroup/","","(512) 535-6300","Keller Williams Realty","Keller Williams","Austin, TX","$473,958","$26.54M","56","https://www.realtrends.com/team-profile/ascensionrealtygroup-texas-kellerwilliamsrealty/"
"Vivian Real Estate Group","2","https://www.vivianrealestategroup.com/","https://www.facebook.com/vivianrealestategroup","https://www.instagram.com/vivianrealestategroup","","(817) 542-8772","Compass","Compass","Trophy Club, TX","$1,103,978","$26.50M","24","https://www.realtrends.com/team-profile/vivianrealestategroup-texas-compass/"
"Troy Olson Team","3","https://www.troyolsonteam.com/","https://www.realtrends.com/team-profile/troyolsonteam-texas-kellerwilliamsrealtyprestonroad/www.facebook.com/troyolsonteam","https://www.realtrends.com/team-profile/troyolsonteam-texas-kellerwilliamsrealtyprestonroad/www.instagram.com/troyolsonteam","","(972) 804-8803","Keller Williams Realty Preston Road","Keller Williams","Dallas, TX","$433,548","$26.45M","61","https://www.realtrends.com/team-profile/troyolsonteam-texas-kellerwilliamsrealtyprestonroad/"
"The Brants Group","3","https://www.briggsfreeman.com/","","","","(817) 980-9500","Briggs Freeman Sotheby's International Realty","Sotheby's International Realty","Fort Worth, TX","$1,016,386","$26.43M","26","https://www.realtrends.com/team-profile/thebrantsgroup-texas-briggsfreemansotheby-sinternationalrealty/"
"Cunningham/ Kelley Team","2","https://www.ebby.com/bio/cunninghamkelleyteam","","","","(214) 695-6864","Ebby Halliday Companies - Ebby Halliday Realtors","LeadingRE, HomeServices of America","Dallas, TX","$733,503","$26.41M","36","https://www.realtrends.com/team-profile/cunningham-kelleyteam-texas-ebbyhallidaycompanies-ebbyhallidayrealtors/"
"GoalLine Real Estate Team","2","","https://www.facebook.com/GoalLineRealEstateTeam/","https://www.instagram.com/goallinerealestateteam/","https://www.linkedin.com/in/bethbrakerealtor/","(214) 769-2947","Keller Williams Realty Dallas Metro North","Keller Williams","Flower Mound, TX","$516,537","$26.34M","51","https://www.realtrends.com/team-profile/goallinerealestateteam-texas-kellerwilliamsrealtydallasmetronorth/"
"The Dream Team","3","","","","","","ERA Newlin & Company","ERA","San Angelo, TX","$313,508","$26.33M","84","https://www.realtrends.com/team-profile/thedreamteam-texas-eranewlincompany/"
"Shelly Seltzer Group","2","https://www.ebby.com/bio/shellyseltzergroup","","","","(214) 507-0581","Ebby Halliday Companies - Ebby Halliday Realtors","LeadingRE, HomeServices of America","Richardson, TX","$585,093","$26.33M","45","https://www.realtrends.com/team-profile/shellyseltzergroup-texas-ebbyhallidaycompanies-ebbyhallidayrealtors/"
"Espinoza Realty Group","3","","","","","(817) 733-6397","Keller Williams Fort Worth","Keller Williams","Fort Worth, TX","$265,608","$24.70M","93","https://www.realtrends.com/team-profile/espinozarealtygroup-texas-kellerwilliamsfortworth/"
"The Allen Crumley Group","5","https://www.williamstrew.com/bio/allencrumleygroup","","","","(817) 480-9502","Ebby Halliday Companies - Williams Trew","LeadingRE, HomeServices of America","Fort Worth, TX","$881,536","$24.68M","28","https://www.realtrends.com/team-profile/theallencrumleygroup-texas-ebbyhalliday-companies-williamstrew/"
"Lisa Sinn Team","2","","","","","(210) 951-9697","Keller Williams Realty Heritage","Keller Williams","San Antonio, TX","$372,555","$24.59M","66","https://www.realtrends.com/team-profile/lisasinnteam-texas-kellerwilliamsrealtyheritage/"
"Premier Group","2","https://www.redfin.com/","https://www.facebook.com/share/1YFHMBp4Mu/?mibextid=wwXIfr","https://www.instagram.com/soldwithpremiergroup?igsh=YTZ1NmxqeTJhbXJm","","(713) 206-4747","Redfin","Redfin","Houston, TX","$491,724","$24.59M","50","https://www.realtrends.com/team-profile/premiergroup-texas-redfin/"
"Excel Real Estate Group","3","","","","","(210) 363-3784","Keller Williams Realty","Keller Williams","San Antonio, TX","$354,335","$24.45M","69","https://www.realtrends.com/team-profile/excelrealestategroup-texas-kellerwilliamsrealty/"
"The Browning Group","4","https://gingerbrowning.sothebysrealty.com/","https://www.facebook.com/ginger.h.browning","https://www.instagram.com/ginger.h.browning/","","(830) 837-1891","Kuper Sotheby's International Realty","Sotheby's International Realty","New Braunfels, TX","$493,567","$24.43M","49.5","https://www.realtrends.com/team-profile/thebrowninggroup-texas-kupersotheby-sinternationalrealty/"
"Seth-Garrison-Lewis-Harrison Group","4","https://www.ebby.com/bio/sethgarrisonlewisharrisongroup","","","","(214) 215-0895","Ebby Halliday Companies - Ebby Halliday Realtors","LeadingRE, HomeServices of America","Flower Mound, TX","$513,787","$24.40M","47.5","https://www.realtrends.com/team-profile/setth-garrison-lewis-harrisongroup-texas-ebbyhallidaycompanies-ebbyhallidayrealtors/"
"McKamy Residential Real Estate Group","3","","","","","","Compass","Compass","Dallas, TX","$1,283,300","$24.38M","19","https://www.realtrends.com/team-profile/mckamyresidentialrealestategroup-texas-compass/"
"Vancleve | Garcia Group","3","https://www.briggsfreeman.com/","","","","(469) 939-1696","Briggs Freeman Sotheby's International Realty","Sotheby's International Realty","Dallas, TX","$609,740","$24.33M","39.9","https://www.realtrends.com/team-profile/vancleve-garciagroup-texas-briggsfreemansotheby-sinternationalrealty/"
"The Wykes Group","3","","","","","","Coldwell Banker Realty","Coldwell Banker","Southlake, TX","$866,964","$24.27M","28","https://www.realtrends.com/team-profile/thewykesgroup-texas-coldwellbankerrealty/"
"The Thomas Group","4","https://www.lenandjona.com/","https://www.facebook.com/lenandjona/","","","(214) 636-6377","RE/MAX Premier","RE/MAX","Dallas, TX","$622,226","$24.27M","39","https://www.realtrends.com/team-profile/thethomasgroup-texas-re-maxpremier/"
"Country Connection","4","https://www.daveperrymiller.com/bio/briansmith","","","","(972) 588-8300","Ebby Halliday Companies - Dave Perry-Miller Real Estate","LeadingRE, HomeServices of America","Dallas, TX","$913,675","$24.21M","26.5","https://www.realtrends.com/team-profile/countryconnection-texas-ebbyhallidaycompanies-daveperry-millerrealestate/"
"Mackey Group","3","","","","","","Better Homes and Gardens Real Estate Winans","Better Homes and Gardens","Frisco, TX","$493,951","$24.20M","49","https://www.realtrends.com/team-profile/mackeygroup-texas-betterhomesandgardensrealestatewinans/"
"Jan Chavoya Group","2","https://www.janchavoya.com/","https://www.facebook.com/janchavoyagroup","https://www.instagram.com/janchavoyagroup.compass","","(972) 965-6689","Compass","Compass","Frisco, TX","$1,150,375","$24.16M","21","https://www.realtrends.com/team-profile/janchavoyagroup-texas-compass/"
